Gene stable ID	Gene name	Gene type	Gene description
ENSG00000252645	RNU7-111P	snRNA	RNA, U7 small nuclear 111 pseudogene [Source:HGNC Symbol;Acc:HGNC:45645]
ENSG00000259273		processed_pseudogene	zinc finger and SCAN domain containing 5A (ZSCAN5A) pseudogene
ENSG00000280377		TEC	tec
ENSG00000136807	CDK9	protein_coding	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]
ENSG00000252995	RNU6-667P	snRNA	RNA, U6 small nuclear 667, pseudogene [Source:HGNC Symbol;Acc:HGNC:47630]
ENSG00000259548		lncRNA	novel transcript
ENSG00000261229		lncRNA	novel transcript
ENSG00000259332	ST20-MTHFS	protein_coding	ST20-MTHFS readthrough [Source:HGNC Symbol;Acc:HGNC:44655]
ENSG00000231471	HMGN2P34	processed_pseudogene	high mobility group nucleosomal binding domain 2 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:39405]
ENSG00000270333		processed_pseudogene	dpy-19-like 3 (C. elegans) (DPY19L3) pseudogene
ENSG00000120563	LYZL1	protein_coding	lysozyme like 1 [Source:HGNC Symbol;Acc:HGNC:30502]
ENSG00000271455		processed_pseudogene	HIG1 hypoxia inducible domain family, member 1A (HIGD1A) pseudogene
ENSG00000279394		TEC	TEC
ENSG00000240412	RPL5P15	processed_pseudogene	ribosomal protein L5 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36769]
ENSG00000286813		lncRNA	novel transcript, sense intronic to ST20-MTHFSand MTHFS
ENSG00000152223	EPG5	protein_coding	ectopic P-granules 5 autophagy tethering factor [Source:HGNC Symbol;Acc:HGNC:29331]
ENSG00000242706	RPS27AP9	processed_pseudogene	RPS27A pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35630]
ENSG00000278600		lncRNA	novel transcript, sense intronic to ST20
ENSG00000274005	RPS9	protein_coding	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]
ENSG00000241965	RPS2P25	processed_pseudogene	ribosomal protein S2 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:36410]
ENSG00000288604		transcribed_processed_pseudogene	SLAIN motif family member 2 (SLAIN2) pseudogene
ENSG00000243592	RPL17P22	processed_pseudogene	ribosomal protein L17 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:35761]
ENSG00000259770		processed_pseudogene	farnesyl diphosphate synthase (FDRS) pseudogene
ENSG00000271364		processed_pseudogene	ribonucleotide reductase M2 (RRM2) pseudogene
ENSG00000279705		TEC	novel transcript
ENSG00000275460	Metazoa_SRP	misc_RNA	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000278057	TEX28	protein_coding	testis expressed 28 [Source:HGNC Symbol;Acc:HGNC:2563]
ENSG00000140379	BCL2A1	protein_coding	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]
ENSG00000164190	NIPBL	protein_coding	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]
ENSG00000234544	PTGES3P5	processed_pseudogene	prostaglandin E synthase 3 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:43826]
ENSG00000270902		processed_pseudogene	cytochrome c oxidase subunit VIIc (COX7C) pseudogene
ENSG00000204172	AGAP9	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]
ENSG00000268988	SPANXN2	protein_coding	SPANX family member N2 [Source:HGNC Symbol;Acc:HGNC:33175]
ENSG00000273833	TFPT	protein_coding	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]
ENSG00000293067	LILRP2	lncRNA	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]
ENSG00000287585		protein_coding	novel protein, similar to CXorf51A
ENSG00000169297	NR0B1	protein_coding	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]
ENSG00000275332		lncRNA	novel transcript, antisense to ANKDD1A
ENSG00000290570		lncRNA	novel transcript
ENSG00000274383		lncRNA	novel transcript, antisense to ANKDD1A
ENSG00000095596	CYP26A1	protein_coding	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]
ENSG00000270218		processed_pseudogene	transmembrane protein 126A (TMEM126A) pseudogene
ENSG00000277894	LILRP1	unprocessed_pseudogene	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]
ENSG00000103710	RASL12	protein_coding	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]
ENSG00000278432		unprocessed_pseudogene	killer cell immunoglobulin-like receptor family pseudogene
ENSG00000273666	LILRP2	transcribed_processed_pseudogene	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]
ENSG00000277953	PRPF31	protein_coding	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]
ENSG00000238709	RNU7-56P	snRNA	RNA, U7 small nuclear 56 pseudogene [Source:HGNC Symbol;Acc:HGNC:34152]
ENSG00000230180	RPL12P49	processed_pseudogene	ribosomal protein L12 pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:51941]
ENSG00000222736	RNU4-6P	snRNA	RNA, U4 small nuclear 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:10199]
ENSG00000283863	MIR3960	miRNA	microRNA 3960 [Source:HGNC Symbol;Acc:HGNC:41595]
ENSG00000274935	LILRA1	protein_coding	leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]
ENSG00000284547	MIR2861	miRNA	microRNA 2861 [Source:HGNC Symbol;Acc:HGNC:38221]
ENSG00000274394	KIR3DL3	protein_coding	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
