gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000283071.1,LBHD2,protein_coding,LBH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:52384],4.178259024311179,1.001951401874174e-63,4.07448896055861e-62
ENSG00000283072.3,ENSG00000283072,lncRNA,novel transcript,0.3338947446961158,0.3084712781838348,0.3651728832402243
ENSG00000283075.1,ENSG00000283075,lncRNA,novel transcript,2.0723721003981153,7.360551446739843e-20,4.432430628593659e-19
ENSG00000283076.1,ENSG00000283076,transcribed_unprocessed_pseudogene,"family with sequence similarity 166, member A (FAM166A) pseudogene",0.1449737490812267,0.9743259387864588,
ENSG00000283078.1,ENSG00000283078,lncRNA,novel transcript,-0.2744502271199337,0.0044358093567407,0.0072202858112574
ENSG00000283083.2,LINC02498,lncRNA,long intergenic non-protein coding RNA 2498 [Source:HGNC Symbol;Acc:HGNC:53483],0.7460743657230902,0.3392366678502748,0.3966977079824449
ENSG00000283084.1,ENSG00000283084,processed_pseudogene,high mobility group nucleosome binding domain 1 (HMGN1) pseudogene,1.7998395025107905,0.000821528785091,0.0014603330335449
ENSG00000283093.1,CENPVL2,protein_coding,centromere protein V like 2 [Source:HGNC Symbol;Acc:HGNC:43879],,,
ENSG00000283095.1,ENSG00000283095,lncRNA,novel transcript,-0.0101558295274099,0.9660671411068502,0.9708296865380552
ENSG00000283096.1,ENSG00000283096,lncRNA,novel transcript,0.2966799424599622,0.8457448914379577,
ENSG00000283097.1,ENSG00000283097,TEC,TEC,-1.3575838403862095,0.0024113164720608,0.0040538957070822
ENSG00000283098.2,ENSG00000283098,lncRNA,novel transcript,-0.2385012431060277,0.4083494184428137,0.4657960410773537
ENSG00000283101.1,BMS1P21,transcribed_unprocessed_pseudogene,BMS1 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:51604],,,
ENSG00000283103.3,ENSG00000283103,lncRNA,"novel transcript, antisense to ERVK3-1",0.9804668048118048,2.9255172667826422e-27,2.619024091720346e-26
ENSG00000283108.1,ENSG00000283108,lncRNA,novel transcript,-0.5187746298236144,0.0028061231231317,0.0046792161685638
